순위,공감종류,기사제목,기사링크,기사내용,공감수,수집일자
17,surprise,"블락비, ‘학폭 인정’ 박경 품었다 “너무 감사해” 눈물(‘더 시즌즈’)",https://m.entertain.naver.com/ranking/article/009/0005362168,학교폭력을 인정한 가수 박경이 ‘더 시즌즈’에 등장했다. 지난 6일 지코의 이름을 건 뮤직 토크쇼 KBS2 예능프로그램 ‘더 시즌즈-지코의 아티...,9,2024-09-08 12:36:01.920141+09:00
18,surprise,"르세라핌, 미국 '2024 MTV VMA' 프리쇼 무대 선다",https://m.entertain.naver.com/ranking/article/477/0000511146,르세라핌이 미국 유명 대중음악 시상식 'MTV 비디오 뮤직 어워드' 프리쇼 무대에 선다. 6일(이하 현지시간) '2024 MTV 비디오 뮤직 어...,8,2024-09-08 12:36:01.921151+09:00
19,surprise,현아 ‘더 어려진 미모’[포토엔HD],https://m.entertain.naver.com/ranking/article/609/0000894655,가수 현아(HyunA)와 용준형이 9월 7일 오후 인천 중구 운서동 인천국제공항 제 2여객터미널을 통해 ‘Star Nest Music Festi...,7,2024-09-08 12:36:01.922151+09:00
20,surprise,김선호 ‘잘생기면 최고!’[포토엔HD],https://m.entertain.naver.com/ranking/article/609/0000894737,배우 김선호(KimSeonHo)가 9월 7일 오후 인천 중구 운서동 인천국제공항 제 2여객터미널을 통해 Meet & Greet 일정에 참석하기 ...,6,2024-09-08 12:36:01.923151+09:00
21,surprise,"현아❤️용준형, 10월에 결혼하는 예비 신랑·신부 출국해요[뉴스엔TV]",https://m.entertain.naver.com/ranking/article/609/0000894674,"예비 신랑 신부 가수 현아, 용준형이 9월 7일 오전 ❝Star Nest Music Festival❞ 해외 공연 일정 차 인천시 중구 인천국제공...",6,2024-09-08 12:36:01.924151+09:00
22,surprise,"故종현 누나 ""숨어만 지내다 수면 위로..혼자의 힘듦으로 끝나지 않길""",https://m.entertain.naver.com/ranking/article/109/0005152554,그룹 샤이니로 활동했던 故종현의 누가 김소담 씨가 청년 문화예술인의 건강한 예술 활동을 위한 심리 상담 프로젝트를 알렸다. 7일 재단법인 빛이나...,5,2024-09-08 12:36:01.925151+09:00
23,surprise,"[단독]'안대 씌우고 성관계' 아이돌 래퍼, 법정구속 불복 '항소'",https://m.entertain.naver.com/ranking/article/108/0003264242,"전 여자친구와 성관계를 하면서 안대를 씌우고 몰래 촬영한 혐의로 기소된 전 아이돌 래퍼 A씨가 징역 1년6개월을 선고받은 것에 불복, 항소장을 ...",5,2024-09-08 12:36:01.927151+09:00
24,surprise,"르세라핌, 미국 4대 대중음악 시상식 ‘2024 MTV VMA’ 프리쇼 무대 선다",https://m.entertain.naver.com/ranking/article/119/0002870273,그룹 르세라핌(LE SSERAFIM)이 미국 4대 대중음악 시상식 ‘MTV 비디오 뮤직 어워드’ 프리쇼 무대에 선다. 6일(이하 현지시간) ‘2...,5,2024-09-08 12:36:01.928152+09:00
25,surprise,[T포토] 뉴진스 다니엘 '머리만 쓸어도',https://m.entertain.naver.com/ranking/article/213/0001308752,그룹 '뉴진스(NewJeans)' 다니엘이 7일 오전 해외 일정 차 인천국제공항을 통해 일본 오사카로 출국하고 있다.,5,2024-09-08 12:36:01.929151+09:00
26,surprise,"임영웅, 생계 문제로 군고구마 팔던 시절…박서진 ""옆에서 먹어줘"" (살림남)",https://m.entertain.naver.com/ranking/article/311/0001769142,트로트 가수 박서진이 과거 임영웅이 과거 군고구마 팔던 시절을 추억하며 친분을 과시했다. 박서진은 지난 7일 방송된 KBS 2TV '살림하는 남...,5,2024-09-08 12:36:01.930151+09:00
27,surprise,"설인아, 불면증 고백 ""5년째 수면제 먹어…끊으니 피부약만 24개"" [무쇠소녀단]",https://m.entertain.naver.com/ranking/article/117/0003868893,배우 설인아가 불면증을 고백했다. 7일 첫 방송된 케이블채널 tvN '무쇠소녀단'에서 설인아는 함께 '철인 3종 경기'에 도전하게 된 배우 진서...,4,2024-09-08 12:36:01.931151+09:00
28,surprise,"[현장포토] ""안경이 찰떡""…하니, 매력 화수분",https://m.entertain.naver.com/ranking/article/433/0000108553,뉴진스가 해외 일정차 7일 오후 인천국제공항을 통해 일본으로 출국했다. 하니는 긴머리와 뿔테로 독특한 분위기를 냈다. 배꼽이 빼꼼 매력 화수분,4,2024-09-08 12:36:01.933151+09:00
29,surprise,레드벨벳 아이린 ‘요정인가요 여신인가요’[포토엔HD],https://m.entertain.naver.com/ranking/article/609/0000894371,"레드벨벳(Red Velvet) 멤버 웬디, 아이린, 슬기, 조이, 예리가 9월 6일 오후 인천 중구 운서동 인천국제공항 제 2여객터미널을 통해 ...",4,2024-09-08 12:36:01.935152+09:00
30,surprise,"뉴진스, 아차랭킹 1위",https://m.entertain.naver.com/ranking/article/144/0000987179,그룹 뉴진스가 8월 4주차 아이돌차트 아차랭킹 1위에 올랐다. 뉴진스는 7일 발표된 아이돌차트 8월 4주차(8월 26일~9월 1일) 아차랭킹에서...,4,2024-09-08 12:36:01.936177+09:00
